#Creator: pendulumviewEventBuffer
#Creation time: Sun Jan 11 01:39:54 2009
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
54.315	447	54.340	506
54.366	448	54.391	511
54.416	449	54.442	515
54.467	448	54.492	518
54.518	448	54.543	519
54.569	448	54.593	517
54.619	449	54.645	515
54.670	448	54.695	509
54.720	448	54.746	502
54.772	448	54.796	496
54.822	448	54.847	488
54.873	447	54.897	481
54.923	448	54.949	472
54.974	447	54.999	463
55.024	447	55.050	457
55.076	448	55.100	451
55.126	447	55.151	447
55.177	448	55.202	445
55.227	448	55.253	443
55.278	448	55.303	447
55.329	448	55.354	450
55.380	448	55.404	453
55.430	448	55.456	459
55.481	449	55.506	467
55.531	449	55.557	475
55.583	448	55.607	483
55.633	448	55.658	491
55.684	449	55.708	499
55.734	448	55.760	505
55.785	447	55.810	510
55.835	448	55.861	514
55.887	448	55.911	514
55.937	448	55.962	517
55.988	447	56.013	515
56.038	447	56.064	512
56.089	447	56.114	507
56.140	447	56.165	500
56.191	448	56.215	494
56.241	449	56.267	487
56.292	446	56.317	479
56.342	448	56.368	471
56.394	448	56.418	463
56.444	448	56.469	458
